Time_Period,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated_MWh,Oil_Generated_MWh,Gas_Generated_MWh,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,1482148.3683494336,1482148.3683494336,252236.84210526317,0.0,0.0,95850.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,1338842.8572457926,2820991.2255952265,240255.26315789475,0.0,0.0,91297.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1329344.6745967215,4150335.900191948,245592.10526315792,0.0,0.0,93325.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,994877.6768904021,5145213.57708235,0.0,0.0,148481.81818181818,0.0,0.0,81665.0,0.0,0.0,0.0
2020-05-31,25907029.3979078,31052242.97499015,0.0,0.0,5249994.545454545,0.0,0.0,83767.0,0.0,0.0,5097690.909090908
2020-06-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,82195.0,0.0,0.0,4948245.454545454
2020-07-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,79903.0,0.0,0.0,4802967.2727272725
2020-08-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,86862.0,0.0,0.0,4645036.363636363
2020-09-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,84021.0,0.0,0.0,4492270.909090909
2020-10-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,92250.0,0.0,0.0,4324543.636363637
2020-11-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,93292.0,0.0,0.0,4154921.8181818184
2020-12-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,95044.0,0.0,0.0,3982114.5454545454
2021-01-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,102920.0,0.0,0.0,3794987.2727272725
2021-02-28,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,97438.0,0.0,0.0,3617827.2727272725
2021-03-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,97693.0,0.0,0.0,3440203.6363636362
2021-04-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,91500.0,0.0,0.0,3273840.0
2021-05-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,91009.0,0.0,0.0,3108369.090909091
2021-06-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,87201.0,0.0,0.0,2949821.818181818
2021-07-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,87127.0,0.0,0.0,2791409.090909091
2021-08-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,89579.0,0.0,0.0,2628538.1818181816
2021-09-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,90155.0,0.0,0.0,2464620.0
2021-10-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,92564.0,0.0,0.0,2296321.8181818184
2021-11-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,97266.0,0.0,0.0,2119474.5454545454
2021-12-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,103707.0,0.0,0.0,1930916.3636363635
2022-01-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,102266.0,0.0,0.0,1744978.1818181816
2022-02-28,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,93860.0,0.0,0.0,1574323.6363636362
2022-03-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,94667.0,0.0,0.0,1402201.8181818181
2022-04-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,86210.0,0.0,0.0,1245456.3636363635
2022-05-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,86436.0,0.0,0.0,1088300.0
2022-06-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,82247.0,0.0,0.0,938760.0
2022-07-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,78153.0,0.0,0.0,796663.6363636364
2022-08-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,84893.0,0.0,0.0,642312.7272727273
2022-09-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,82081.0,0.0,0.0,493074.54545454547
2022-10-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,85767.0,0.0,0.0,337134.54545454547
2022-11-30,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,91562.0,0.0,0.0,170658.18181818182
2022-12-31,0.0,31052242.97499015,0.0,0.0,0.0,0.0,0.0,93862.0,0.0,0.0,0.0
