Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,9448.019332931706,9448.019332931706,1607.8947368421054,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,8461.530265297024,17909.549598228732,1518.421052631579,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,8261.665269392966,26171.214867621697,1526.3157894736844,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,6103.39455240423,32274.609420025925,0.0,0.0,910.9090909090909,0.0,0.0,501.0,0.0,0.0,0.0
2020-05-31,32165.12446298627,64439.733883012195,0.0,0.0,6518.181818181818,0.0,0.0,502.0,0.0,0.0,5605.454545454545
2020-06-30,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,4709.090909090909
2020-07-31,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,3843.6363636363635
2020-08-31,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,2910.909090909091
2020-09-30,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,2007.2727272727273
2020-10-31,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,1023.6363636363636
2020-11-30,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0
2020-12-31,0.0,64439.733883012195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
