fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought,generated,stored,bought,generated,stored,bought,generated,stored
Unnamed: 0,,,,,,,,,
2020-01-31,2105.263157894737,800.0,0.0,0.0,0.0,0.0,287.27272727272725,158.0,0.0
2020-02-29,2105.263157894737,800.0,0.0,0.0,0.0,0.0,203.63636363636363,112.0,0.0
2020-03-31,2105.263157894737,800.0,0.0,0.0,0.0,0.0,241.8181818181818,133.0,0.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,1483.6363636363635,816.0,0.0
2020-05-31,5000.0,0.0,5000.0,1000.0,0.0,1000.0,3000.0,837.0,1478.1818181818182
2020-06-30,0.0,0.0,5000.0,0.0,0.0,1000.0,3000.0,821.0,2985.4545454545455
2020-07-31,0.0,0.0,5000.0,0.0,0.0,1000.0,1467.2727272727275,799.0,3000.0
2020-08-31,0.0,0.0,5000.0,0.0,0.0,1000.0,1578.181818181818,868.0,3000.0
2020-09-30,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,72.72727272727272,40.0,3000.0
2020-10-31,0.0,800.0,2894.736842105263,0.0,0.0,1000.0,0.0,122.0,2778.181818181818
2020-11-30,4210.526315789473,800.0,5000.0,0.0,0.0,1000.0,461.818181818182,132.0,3000.0
2020-12-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,272.7272727272727,150.0,3000.0
2021-01-31,0.0,800.0,2894.736842105263,0.0,0.0,1000.0,0.0,229.0,2583.6363636363635
2021-02-28,4210.526315789473,800.0,5000.0,0.0,0.0,1000.0,732.727272727273,174.0,3000.0
2021-03-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,320.0,176.0,3000.0
2021-04-30,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,209.0909090909091,115.0,3000.0
2021-05-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,200.0,110.0,3000.0
2021-06-30,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,130.9090909090909,72.0,3000.0
2021-07-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,129.0909090909091,71.0,3000.0
2021-08-31,1315.7894736842113,800.0,4210.526315789474,0.0,0.0,1000.0,172.72727272727272,95.0,3000.0
2021-09-30,0.0,800.0,2105.263157894737,0.0,0.0,1000.0,0.0,101.0,2816.3636363636365
2021-10-31,0.0,800.0,0.0,0.0,125.0,621.2121212121212,0.0,0.0,2816.3636363636365
2021-11-30,4210.526315789474,800.0,2105.263157894737,0.0,0.0,621.2121212121212,0.0,172.0,2503.636363636364
2021-12-31,5000.0,800.0,5000.0,0.0,0.0,621.2121212121212,0.0,237.0,2072.727272727273
2022-01-31,2105.263157894737,800.0,5000.0,0.0,0.0,621.2121212121212,0.0,222.0,1669.0909090909095
2022-02-28,2105.263157894737,800.0,5000.0,0.0,0.0,621.2121212121212,0.0,138.0,1418.1818181818185
2022-03-31,0.0,800.0,2894.736842105263,0.0,146.0,178.7878787878788,0.0,0.0,1418.1818181818185
2022-04-30,4210.526315789473,800.0,5000.0,0.0,0.0,178.7878787878788,0.0,62.0,1305.4545454545457
2022-05-31,2105.263157894737,800.0,5000.0,0.0,0.0,178.7878787878788,0.0,64.0,1189.0909090909095
2022-06-30,2105.263157894737,800.0,5000.0,0.0,0.0,178.7878787878788,0.0,22.0,1149.0909090909095
2022-07-31,0.0,781.0,2944.736842105263,0.0,0.0,178.7878787878788,0.0,0.0,1149.0909090909095
2022-08-31,0.0,486.9999999999998,1663.1578947368423,0.0,0.0,178.7878787878788,0.0,361.0000000000002,492.72727272727275
2022-09-30,442.1052631578948,800.0,0.0,0.0,0.0,178.7878787878788,0.0,20.0,456.3636363636364
2022-10-31,2105.263157894737,800.0,0.0,0.0,0.0,178.7878787878788,0.0,57.0,352.72727272727275
2022-11-30,4210.526315789474,800.0,2105.263157894737,0.0,0.0,178.7878787878788,0.0,115.0,143.63636363636363
2022-12-31,0.0,800.0,0.0,0.0,59.00000000000001,0.0,0.0,79.0,0.0
