Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,14813.752080112232,14813.752080112232,2521.0526315789475,0.0,0.0,958.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,13374.203816206042,28187.95589631827,2400.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,13289.885683351098,41477.84157966937,2455.263157894737,0.0,0.0,933.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,9940.858193137428,51418.6997728068,0.0,0.0,1483.6363636363635,0.0,0.0,816.0,0.0,0.0,0.0
2020-05-31,258927.00889186075,310345.70866466756,0.0,0.0,52470.90909090909,0.0,0.0,837.0,0.0,0.0,50949.090909090904
2020-06-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,821.0,0.0,0.0,49456.36363636363
2020-07-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,799.0,0.0,0.0,48003.63636363636
2020-08-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,46425.454545454544
2020-09-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,44898.181818181816
2020-10-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,922.0,0.0,0.0,43221.81818181818
2020-11-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,932.0,0.0,0.0,41527.27272727272
2020-12-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,39799.99999999999
2021-01-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,1029.0,0.0,0.0,37929.090909090904
2021-02-28,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,974.0,0.0,0.0,36158.181818181816
2021-03-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,34383.63636363636
2021-04-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,915.0,0.0,0.0,32720.0
2021-05-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,910.0,0.0,0.0,31065.454545454544
2021-06-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,872.0,0.0,0.0,29480.0
2021-07-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,871.0,0.0,0.0,27896.363636363636
2021-08-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,26269.090909090908
2021-09-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,901.0,0.0,0.0,24630.90909090909
2021-10-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,925.0,0.0,0.0,22949.090909090908
2021-11-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,972.0,0.0,0.0,21181.81818181818
2021-12-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,1037.0,0.0,0.0,19296.363636363636
2022-01-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,17438.181818181816
2022-02-28,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,938.0,0.0,0.0,15732.727272727272
2022-03-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,14012.727272727272
2022-04-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,12445.454545454544
2022-05-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,10874.545454545454
2022-06-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,822.0,0.0,0.0,9380.0
2022-07-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,7960.0
2022-08-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,848.0,0.0,0.0,6418.181818181818
2022-09-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,4927.272727272727
2022-10-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,857.0,0.0,0.0,3369.090909090909
2022-11-30,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,915.0,0.0,0.0,1705.4545454545455
2022-12-31,0.0,310345.70866466756,0.0,0.0,0.0,0.0,0.0,938.0,0.0,0.0,0.0
