fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought,generated,stored,bought,generated,stored,bought,generated,stored
Unnamed: 0,,,,,,,,,
2020-01-31,2522.3894736842108,958.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,2402.5776315789476,912.9795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2455.922368421053,933.2505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,2149.1000000000004,816.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,1523.0418181818181,837.673,0.0
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,50977.18818181818,821.952,49482.729999999996
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0395,48029.93090909091
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.6285,46450.60636363636
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.2175,44922.93818181818
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.503,43245.659999999996
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.9215,41549.43909090909
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.44,39821.36636363636
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.203,37950.08818181818
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.3825,36178.483636363635
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.937,34402.23454545454
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0015,32738.595454545455
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0985000000001,31083.87090909091
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0135,29498.39181818182
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.2760000000001,27914.253636363635
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.797,26285.53181818182
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.5585,24646.334545454545
2021-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.645,22963.343636363636
2021-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.666,21194.86
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0765000000001,19309.266363636365
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.662,17449.88090909091
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.609,15743.31909090909
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.676,14022.089999999998
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.107,12454.622727272726
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.365,10883.05
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.4745,9387.641818181817
2022-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.5365,7966.666363636363
2022-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.9315,6423.154545454545
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.814,4930.765454545454
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.6735,3371.359090909091
2022-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.6265,1706.5836363636363
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.621,0.0
