Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,9448.545081961689,9448.545081961689,1607.9842105263158,0.0,0.0,611.034,0.0,0.0,0.0,0.0,0.0
2020-02-29,8462.718105767543,17911.26318772923,1518.6342105263159,0.0,0.0,577.081,0.0,0.0,0.0,0.0,0.0
2020-03-31,8272.569243123517,26183.832430852744,1528.3302631578947,0.0,0.0,580.7655,0.0,0.0,0.0,0.0,0.0
2020-04-30,6794.776070850203,32978.60850170295,1319.8657894736843,0.0,0.0,501.54900000000004,0.0,0.0,0.0,0.0,0.0
2020-05-31,4512.605463624105,37491.21396532705,0.0,0.0,914.4681818181818,0.0,0.0,502.95750000000004,0.0,0.0,0.0
2020-06-30,29965.336894794105,67456.55086012115,0.0,0.0,5609.035454545455,0.0,0.0,493.834,0.0,0.0,4711.155454545455
2020-07-31,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,476.0355,0.0,0.0,3845.6363636363635
2020-08-31,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,513.3665,0.0,0.0,2912.2427272727273
2020-09-30,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,497.028,0.0,0.0,2008.5554545454545
2020-10-31,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,541.0865,0.0,0.0,1024.7618181818182
2020-11-30,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,1.1254545454545455
2020-12-31,0.0,67456.55086012115,0.0,0.0,0.0,0.0,0.0,0.619,0.0,0.0,0.0
